﻿ID	Value
htd41	મુખ્યસ્નાન\N_NN નવેમ્બરે\N-NNP છે\V_VAUX  .\RD_PUNC
htd42	ગઢમુક્તેશ્વર\N-NNP વિશે\PSP કહેવાય\V_VM છે\V_VAUX કે\CC_CCS મહાભારતના\N-NNP વિનાશક\JJ યુદ્ધ\N_NN બાદ\PSP યુદ્ધની\N_NN ભયાનકતા\N_NN અને\CC_CCD નરસંહાર\N_NN જોઈને\V_VM યોગીરાજ\JJ શ્રીકૃષ્ણ\N-NNP ,\RD_PUNC ધર્મરાજ\JJ યુધિષ્ઠિર\N-NNP અને\CC_CCD અર્જુનના\N-NNP મનમાં\N_NN ભારે\RP_INTF વિષાદ\N_NN થયો\V_VM .\RD_PUNC
htd43	તેઓ\PR_PRP એ\PR_PRP વિચારવા\V_VM લાગ્યા\V_VAUX કે\CC_CCS યુદ્ધમાં\N_NN માર્યા\V_VM ગયેલા\V_VAUX અસંખ્ય\QT_QTF કુટુંબીજનો\N_NN ,\RD_PUNC ભાઈઓ\N_NN અને\CC_CCD નિર્દોષ\RB લોકોના\N_NN આત્માની\N_NN શાંતિ\N_NN માટે\PSP શું\DM_DMI ઉપાય\N_NN કે\CC_CCS વિધિ\N_NN કરવો\V_VM જોઈએ\V_VAUX .\RD_PUNC
htd44	ત્યારે\N_NST સૌએ\PR_PRP એક\QT_QTC મતે\N_NN નિર્ણય\N_NN કર્યો\V_VM .\RD_PUNC
htd45	ખાંડવવનમાં\N-NNP ભગવાન\N_NN પરશુરામ\N-NNP દ્વારા\PSP સ્થાપિત\JJ શિવ\N-NNP વલ્લભપુર\N-NNP નામના\N_NN સ્થળે\N_NN મુક્તેશ્વર\N-NNP મહાદેવની\N-NNP પૂજા\N_NN ,\RD_PUNC યજ્ઞ\N_NN તથા\CC_CCD પતિતપાવની\JJ ગંગા\N-NNP નદીમાં\N_NN સ્નાન\N_NN કરીને\V_VM ત્યાં\N_NST પિંડદાન\N_NN કરવાથી\V_VM સઘળાં\QT_QTF વિધિ-વિધાન\N_NN પુરા\V_VM થઈ\V_VM જશે\V_VAUX .\RD_PUNC
htd46	યાદ\N_NN રાખો\V_VM કે\CC_CCS શિવવલ્લભપુરને\N-NNP જ\RP_RPD હવે\N_NST ગઢમુક્તેશ્વર\N-NNP નામથી\N_NN ઓળખવામાં\V_VM આવે\V_VM છે\V_VAUX  .\RD_PUNC
htd47	ભગવાન\N_NN રામના\N-NNP પૂર્વજ\N_NN મહારાજ\N_NN શિબિએ\N-NNP પોતાનો\PR_PRF વાનપ્રસ્થાશ્રમ\N_NN ગઢમુક્તેશ્વરમાં\N-NNP જ\RP_RPD વીતાવ્યો\V_VM હતો\V_VAUX .\RD_PUNC
htd48	મહારાજ\N_NN શિબિએ\N-NNP ભગવાન\N_NN પરશુરામ\N-NNP પાસે\PSP અહીં\N_NST શિવમંદિરની\N_NN સ્થાપના\N_NN કરાવી\V_VM હતી\V_VAUX .\RD_PUNC
htd49	એ\DM_DMD સમયે\N_NN ગઢમુક્તેશ્વર\N-NNP વલ્લભસંપ્રદાયનું\N-NNP મુખ્ય\JJ કેન્દ્ર\N_NN હતું\V_VM .\RD_PUNC
htd50	ગઢમુક્તેશ્વરનું\N-NNP નામ\N_NN શિવ\N-NNP વલ્લભપુર\N-NNP પડ્યું\V_VM .\RD_PUNC
htd51	ગઢમુક્તેશ્વરનું\N-NNP વર્ણન\N_NN શિવપુરાણમાં\N-NNP મળે\V_VM છે\V_VAUX  .\RD_PUNC
htd52	અગિયારસથી\N_NN ચૌદશ\N_NN સુધી\RP_RPD ગઢમુક્તેશ્વરમાં\N-NNP મહાભારતના\N-NNP યુદ્ધમાં\N_NN માર્યા\V_VM ગયેલા\V_VAUX બધાં\QT_QTF લોકોના\N_NN આત્માની\N_NN શાંતિ\N_NN માટે\PSP યજ્ઞ\N_NN કરવામાં\V_VM આવ્યો\V_VAUX .\RD_PUNC
htd53	ચૌદશની\N_NN સંધ્યાએ\N_NST યજ્ઞ\N_NN પૂરો\V_VM થતી\V_VM વખતે\N_NN આત્માઓને\N_NN ગંગામાં\N-NNP દીપદાન\N_NN કરીને\V_VM શ્રદ્ધાંજલિ\N_NN આપવામાં\V_VM આવી\V_VAUX .\RD_PUNC
htd54	બીજા\QT_QTO દિવસે\N_NN પૂનમની\N-NNP સવારે\N_NN બધાંએ\PR_PRP ગંગાસ્નાન\N_NN કરીને\V_VM પૂજા-અર્ચના\N_NN ,\RD_PUNC કથા\N_NN વગેરે\RP_RPD કર્યાં\V_VM .\RD_PUNC
htd55	દર\JJ વર્ષે\N_NN લાખોની\QT_QTF સંખ્યામાં\N_NN શ્રદ્ધાળુ\N_NN ગઢમુક્તેશ્વરમાં\N-NNP કાર્તિકપૂનમના\N-NNP દિવસે\N_NN અપવિત્રતા\N_NN વિનાશની\JJ ,\RD_PUNC પાપહારિણી\JJ ગંગામાં\N-NNP સ્નાન\N_NN કરીને\V_VM અને\CC_CCD પોતાના\PR_PRF સ્વજનોના\N_NN આત્માની\N_NN શાંતિ\N_NN માટે\PSP અહીં\N_NST દીપદાન\N_NN કરવા\V_VM આવે\V_VAUX છે\V_VAUX  .\RD_PUNC
htd56	ચૌદશની\N_NN સાંજે\N_NN અસંખ્ય\QT_QTF લોકો\N_NN પોતાના\PR_PRF સ્વજનોને\N_NN શ્રદ્ધાંજલિ\N_NN આપવા\V_VM ગંગામાં\N-NNP દીપદાન\N_NN કરે\V_VM છે\V_VAUX  .\RD_PUNC
htd57	એ\DM_DMD સમયે\N_NN ગંગાના\N-NNP પ્રવાહ\N_NN સાથે\PSP વહેતાં\V_VM દીવડાંઓનું\N_NN દ્રશ્ય\N_NN અત્યંત\RP_INTF શાંતિદાયક\JJ અને\CC_CCD મનોહર\JJ લાગે\V_VM છે\V_VAUX  .\RD_PUNC
htd58	ગઢમુક્તેશ્વરમાં\N-NNP ધાર્મિક\JJ મહત્ત્વવાળાં\N_NN ઘણાં\QT_QTF સ્થળો\N_NN છે\V_VAUX  .\RD_PUNC જેમકે\RP_RPD નહૂષ\N-NNP કૂવો\N-NNP ,\RD_PUNC મુક્તેશ્વર\N-NNP મહાદેવનું\N-NNP મંદિર\N_NN ,\RD_PUNC બદ્રીનાથમંદિર\N-NNP વગેરે\RP_RPD .\RD_PUNC
htd59	પરંપરાં\N_NN છે\V_VAUX કે\CC_CCS બદ્રીનાથમંદિર\N-NNP માત્ર\RP_RPD આરતીના\N_NN સમયે\N_NN જ\RP_RPD ખોલવામાં\V_VM આવે\V_VAUX છે\V_VAUX  .\RD_PUNC
htd60	આ\DM_DMD મંદિર\N_NN વર્ષમાં\N_NN માત્ર\RP_RPD એકજ\QT_QTC વાર\N_NN અખાત્રીજે\N-NNP પરશુરામ\N-NNP જયંતી\N_NN વખતે\N_NN આખો\QT_QTF દિવસ\N_NN દર્શનાર્થિયો\N_NN માટે\PSP ખોલવામાં\V_VM આવે\V_VAUX છે\V_VAUX  .\RD_PUNC
htd61	મુક્તેશ્વર\N-NNP મહાદેવમંદિરની\N_NN સામે\PSP વિશાળ\JJ રેતાળ\JJ મેદાન\N_NN છે\V_VAUX ,\RD_PUNC જેને\PR_PRL મીરાંબાઈની\N-NNP રેતીના\N_NN નામથી\N_NN ઓળખવામાં\V_VM આવે\V_VM છે\V_VAUX  .\RD_PUNC
htd62	એવી\RP_RPD માન્યતા\N_NNછે\V_VAUX કે\CC_CCS એકવાર\N_NN મીરાંબાઈ\N-NNP અહીં\N_NST ગંગાસ્નાન\N-NNP માટે\PSP આવ્યાં\V_VM હતાં \V_VAUX.\RD_PUNC
htd63	કહે\V_VM છે\V_VAUX કે\CC_CCS એકવાર\N_NN પાર્વતીજીએ\N-NNP શંકરજીને\N-NNP પ્રશ્ન\N_NN કર્યો\V_VM .\RD_PUNC
htd64	પ્રભુ\N_NN એવો\RP_RPD કોઈ\DM_DMI ઉપાય\N_NN કે\CC_CCD સ્થળ\N_NN બતાવો\V_VM ,\RD_PUNC જેનાથી\PR_PRL સંસારમાં\N_NN અનેક\QT_QTF વ્યાધિઓ\N_NN અને\CC_CCD પાપોથી\N_NN પીડિત\JJ જીવને\N_NN મુક્તિ\N_NN મળે\V_VM .\RD_PUNC
htd65	તેઓ\PR_PRL એવું\RP_RPD કયું\DM_DMI કર્મ\N_NN કરે\V_VM ,\RD_PUNC જેનાથી\PR_PRL એમને\PR_PRL તમારો\PR_PRP સ્નેહ\N_NN મળે\V_VM .\RD_PUNC
htd66	એ\DM_DMD સંદર્ભમાં\N_NN શંકરજીએ\N-NNP કહ્યું\V_VM કે\CC_CCS હે\RP_RPD દેવી\N_NN ,\RD_PUNC સતયુગમાં\N_NN બધા\QT_QTF તીર્થ\N_NN પુણ્યનું\N_NN ફળ\N_NN આપે\V_VM છે\V_VAUX ,\RD_PUNC ત્રેતામાં\N_NN પુષ્કર\N-NNP ,\RD_PUNC દ્વાપરમાં\N_NN કુરુક્ષેત્ર\N_NN તીર્થ\N_NN પુણ્યનું\N_NN ફળ\N_NN આપે\V_VM છે\V_VAUX અને\CC_CCD કળિયુગમાં\N_NN માત્ર\RP_RPD ગંગાસ્નાનથી\N-NNP જ\RP_RPD પુણ્યફળની\N_NN પ્રાપ્તિ\N_NN છે\V_VAUX  .\RD_PUNC
htd67	ગંગા\N-NNP કિનારે\N_NN શિવબલ્લભપુર\N-NNP નામનું\N_NN એક\QT_QTC સ્થાન\N_NN છે\V_VAUX  .\RD_PUNC
htd68	શિવબલ્લભપુર\N-NNP નામના\N_NN સ્થળમાં\N_NN શિવ\N-NNP નિવાસ\N_NN કરે\V_VM છે\V_VAUX  .\RD_PUNC
htd69	શિવબલ્લભપુર\N-NNP શિવજીને\N-NNP ખૂબ\QT_QTC જ\RP_RPD પ્રિય\JJ છે\V_VAUX  .\RD_PUNC
htd70	શિવબલ્લભપુર\N-NNP જંબૂદ્વીપના\N-NNP આર્યાવર્ત\N-NNP દેશમાં\N_NN હસ્તિનાપુરની\N-NNP પૂર્વ\N_NST દિશામાં\N_NN આવેલું\V_VM છે\V_VAUX  .\RD_PUNC
htd71	ગંગાકિનારે\N-NNP આવેલું\V_VM શિવબલ્લભપુર\N-NNP દેવો\N_NN ,\RD_PUNC ઋષિઓ\N_NN અને\CC_CCD પિતૃઓને\N_NN સંતોષ\N_NN આપનારૂં\V_VM છે\V_VAUX  .\RD_PUNC
htd72	શિવબલ્લભપુર\N-NNP પ્રદેશ\N_NN મને\PR_PRP કાશી\N-NNP જેવો\RP_RPD પ્રિય\JJ છે\V_VAUX  .\RD_PUNC
htd73	ગઢમુક્તેશ્વરમાં\N-NNP આવેલ\V_VM ગંગામંદિર\N-NNP ખૂબ\QT_QTC જ\RP_RPD ઊંચાઈ\N_NN પર\PSP બનેલું\V_VM છે\V_VAUX  .\RD_PUNC
htd74	ગઢમુક્તેશ્વરમાં\N-NNP ગંગામંદિરમાં\N-NNP ગંગા\N-NNP માતા\N_NN સિવાય\RP_RPD બ્રહ્માજીની\N-NNP મૂર્તિ\N_NN પણ\CC_CCD મૂકેલી\V_VM છે\V_VAUX  .\RD_PUNC
htd75	ગઢમુક્તેશ્વરના\N-NNP ગંગામંદિરમાં\N-NNP એક\QT_QTC એવો\RP_RPD પત્થર\N_NN પણ\CC_CCDછે\V_VAUX જેને\PR_PRF ધ્યાનપૂર્વક\RB જોવાથી\V_VM તેના\PR_PRF પર\PSP ભગવાન\N_NN શિવની\N-NNP આકૃતિનો\N_NN આભાસ\N_NN થાય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd76	ગઢમુક્તેશ્વરના\N-NNP ગંગામંદિરમાં\N-NNP પહોંચવા\V_VM માટે\PSP ક્યારેક\N_NST પગથિયાં\N_NN પણ\CC_CCD હતાં\V_VM ,\RD_PUNC
htd77	પરંતુ\CC_CCD ,\RD_PUNC ગઢમુક્તેશ્વરના\N-NNP ગંગામંદિરમાં\N-NNP હવે\N_NST પગથિયાં\N_NN જ\RP_RPD બાકી\V_VM રહ્યાં\V_VAUX છે\V_VAUX  .\RD_PUNC
htd78	કહેવાય\V_VM છે\V_VAUX કે\CC_CCS સુધી\PSP ગંગાજી\N-NNP ગઢમુક્તેશ્વરના\N-NNP ગંગામંદિરના\N-NNP પગથિયાંને\N_NN સ્પર્શીને\V_VM વહેતાં\V_VM હતાં\V_VAUX .\RD_PUNC
htd79	પરંતુ\CC_CCD ધીમે-ધીમે\RB ગંગાજી\N-NNP સ્થળ\N_NN છોડતા\V_VM ગયાં\V_VAUX .\RD_PUNC
htd80	હવે\N_NST ગંગાનો\N-NNP કિનારો\N_NN આ\DM_DMD મંદિરથી\N_NN લગભગ\RP_RPD કિલોમીટર\N_NN દૂર\N_NST છે\V_VAUX  .\RD_PUNC
htd81	ગંગા\N-NNP કિનારાના\N_NN રેતાળ\JJ મેદાનમાં\N_NN મેળો\N_NN ભરાય\V_VM છે\V_VAUX  .\RD_PUNC
htd82	મેળા\N_NN દરમિયાન\PSP કિનારા\N_NN પર\PSP તંબૂઓનું\N_NN એક\QT_QTC આખું\QT_QTF નગર\N_NN વસી\V_VM જાય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd83	મેળાનું\N_NN સ્થળ\N_NN દિલ્લીથી\N-NNP લગભગ\RP_RPD કિલોમીટર\N_NN દૂર\N_NST થાય\V_VM છે\V_VAUX  .\RD_PUNC
htd84	મેળાના\N_NN સ્થળે\N_NN કાર\N_NN વગેરેથી\RP_RPD આરામથી\N_NN પહોંચી\V_VM શકાય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd85	ગઢમુક્તેશ્વરમાં\N-NNP ,\RD_PUNC પહેલા\QT_QTO મેળાના\N_NN સ્થળ\N_NN સુધી\PSP લોકોને\N_NN ચાલીને\V_VM જ\RP_RPD જવું\V_VM પડતું\V_VAUX હતું\V_VAUX .\RD_PUNC
htd86	પરંતુ\CC_CCD હવે\N_NST આવગમન\N_NN માટેના\PSP ઘણાં\QT_QTF સાધનો\N_NN ઉપલબ્ધ\JJ છે\V_VAUX  .\RD_PUNC
htd87	ઘણાં\QT_QTF લોકો\N_NN બળદગાડી\N_NN ,\RD_PUNC ટ્રેક્ટર\N_NN ટ્રોલીઓ\N_NN ,\RD_PUNC કાર\N_NN અને\CC_CCD અન્ય\QT_QTF સાધનો\N_NN દ્વારા\PSP મેળાના\N_NN સ્થળ\N_NN સુધી\PSP પહોંચે\V_VM છે\V_VAUX  .\RD_PUNC
htd88	અનુમાન\N_NNછે\V_VAUX કે\CC_CCS દર\RP_INTF વર્ષે\N_NN લગભગ\RP_RPD વીસ\QT_QTC લાખ\QT_QTC લોકો\N_NN ગઢમુક્તેશ્વર\N-NNP મેળા\N_NN દરમિયાન\PSP ગંગાસ્નાન\N-NNP કરવા\V_VM આવે\V_VM છે\V_VAUX  .\RD_PUNC
htd89	મેળામાં\N_NN ભાગ\N_NN લેવા\V_VM આવેલા\V_VM મોટાભાગના\QT_QTF શ્રદ્ધાળુઓ\N_NN બનાવેલા\N_NN તંબુમાં\N_NN જ\N_NN રોકાય\V_VM છે\V_VAUX  .\RD_PUNC
htd90	મેળા\N_NN સિવાય\RP_RPD સામાન્ય\JJ દિવસોમાં\N_NN આવનાર\V_VM લોકો\N_NN વ્રજઘાટની\N-NNP આસપાસ\N_NST બનેલી\V_VM ધર્મશાળાઓમાં\N_NN રોકાય\V_VM છે\V_VAUX  .\RD_PUNC
htd91	આમ\RP_RPD તો\RP_RPD અહીં\N_NST ખાવા\V_VM પીવાની\V_VM વસ્તુઓ\N_NN મોટાભાગની\QT_QTF દુકાનોમાંથી\N_NN મળી\V_VM જાય\V_VAUX છે\V_VAUX  .\RD_PUNC
htd92	પરંતુ\CC_CCD સમૂહમાં\N_NN મેળામાં\N_NN આવનાર\V_VM શ્રદ્ધાળુઓ\N_NN પોતાના\PR_PRP ભોજન\N_NN વગેરેની\RP_RPD વ્યવસ્થા\N_NN જાતે\PR_PRF જ\RP_RPD કરે\V_VM છે\V_VAUX  .\RD_PUNC
htd93	કાર્તિકપૂર્ણિમાના\N-NNP દિવસે\N_NN ગઢમુક્તેશ્વરમાં\N-NNP ગંગાકિનારે\N-NNP થતો\V_VM મેળો\N_NN સૌથી\PR_PRP મોટા\JJ મેળાઓમાંનો\N_NN એક\QT_QTC છે\V_VAUX  .\RD_PUNC
htd94	મેળો\N_NN ગંગાના\N-NNP કિનારે\N_NN કિનારે\N_NN લગભગ\RP_RPD કિલોમીટરના\N_NN વિસ્તારમાં\N_NN થાય\V_VM છે\V_VAUX  .\RD_PUNC
